"codigo","classe","descricao","kcal","proteina_g","carboidratos_g","gorduras_g","fibras_g","sodio_mg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0006R","Alimentos industrializados","Bolo, mármore, mistura p/, Oetker,","368","6.8","82.4","0.8","1.93","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0186C","Frutas e derivados","Ameixa, em calda, enlatada, drenada,","188","0.41","46.4","0","0.52","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0088N","Alimentos para fins especiais","Lasanha, ricota com espinafre, light, caseira, (massa lasanha fresca, c/ espinafre, c/ ricota, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal),","119","5.41","17.1","2.86","1.6","414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0469A","Cereais e derivados","Pão francês, c/ requeijão,","295","9.85","46.1","7.52","2.01","653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0770F","Carnes e derivados","Linguiça, frango/porco, fresca, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,","228","16.8","1.4","17.1","0.51","1355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0505E","Pescados e frutos do mar","Peixe, água doce, Arraia (Raia), filé, grelhado, s/ óleo, s/ sal, Paratrygon eiereba e Potamotrygon motoro,","94","21.7","0.41","0.65","0","43.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0856B","Vegetais e derivados","Bolo de mandioca (aipim, macaxeira) com frango, s/ sal, (mandioca (aipim, macaxeira), ovo, manteiga, peito de frango, tomate, salsa e queijo parmesão, c/ óleo, cebola e alho, s/ sal),","166","10.1","15.1","6.97","1.24","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0130N","Alimentos para fins especiais","Papa de feijão preto, macarrão e chicória, c/ caldo de frango, c/ cebola, c/ óleo de soja, s/ sal,","72","3.23","7.1","2.4","4.66","2.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0173N","Alimentos para fins especiais","Papa de arroz polido, abobrinha e ovo, c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal,","93","4.39","6.75","5.19","0.7","79.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0824A","Cereais e derivados","Croissant, assado, c/ recheio, de doce de leite,","396","7.94","53.6","16.3","1.34","296","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0420A","Cereais e derivados","Sanduíche, pão francês, c/ ovo frito,","267","12.7","30.1","10.3","1.3","515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0149G","Leite e derivados","Manjar, coco, em pó, preparado (conforme a embalagem),","94","2.66","13.8","3.14","0.08","122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0113H","Bebidas","Bebida, capuccino tradicional (leite desnatado, café descafeinado - infusão e canela em pó), c/ açúcar,","54","2.11","10.3","0.34","0.76","35.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0637F","Carnes e derivados","Carne, bovina, patinho, s/ gordura, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus,","165","27.9","0.61","5.61","0.14","63.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0180C","Frutas e derivados","Tâmara, seca,","311","2","70.4","0.2","9.7","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0174B","Vegetais e derivados","Salada, couve, crua, c/ molho vinagrete (tomate, cebola, salsinha, vinagre e óleo), c/ sal, Brassica oleracea var. Acephala,","50","2.26","2.35","2.91","2.48","135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0338N","Alimentos para fins especiais","Papa de carne bovina (músculo), feijão carioca, batata baroa (mandioquinha, salsa) e abóbora cabotian (japonesa), c/ caldo de frango, c/ cebola e azeite de oliva, c/ sal,","110","10.7","5.99","4.41","1.85","119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0120T","Leguminosas e derivados","Lentilha, cozida, c/ toucinho defumado (bacon), c/ óleo, cebola e alho, c/ sal,","163","8.97","11.8","7.59","5.63","212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0386N","Alimentos para fins especiais","Papa de peito de frango, ervilha e abóbora (jerimum), c/ caldo de frango, c/ cebola, s/ óleo, c/ sal,","75","12.2","2.76","1.34","1.59","113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0046A","Cereais e derivados","Biscoito, doce, recheado, recheio sabor chocolate, Marilan,","478","6.8","69","18.9","2.5","240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0307N","Alimentos para fins especiais","Papa de feijão preto, batata, abóbora (jerimum) e cenoura, c/ caldo de frango, c/ cebola, s/ soja, s/ sal,","45","2.88","5.04","0.39","4.85","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0218T","Leguminosas e derivados","Chilli de carne, c/ feijão, c/ sal, (carne moída (acém) feijão rajado, rosinha e carioca, tomate, pimentão, c/ pimenta-do-reino, c/ óleo, cebola e alho, c/ sal),","93","7.88","5.66","3.03","5.8","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0421N","Alimentos para fins especiais","Creme de abacate, c/ iorgurte integral, s/ açúcar,","70","2.01","2.7","5.07","2.82","14.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0035B","Vegetais e derivados","Tomate, cru, Lycopersicon esculentum,","18","1.04","2.22","0.17","1.6","3.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0053T","Leguminosas e derivados","Soja, grão, tostada, s/ casca, moída, Glycine max L. Merril,","549","34","14","37.6","9.51","2.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0736B","Vegetais e derivados","Sopa de entulho, c/ carne e vegetais, c/ feijão vermelho, c/ sal, (carne bovina músculo, c/ caldo de carne, cenoura, repolho, nabo, batata e feijão vermelho, c/ óleo, cebola e alho, c/ sal),","70","7.94","3.67","2.24","1.53","213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C1061A","Cereais e derivados","Bolo, trigo, c/ recheio de creme de confeiteiro e frutas, c/ cobertura de chantilly, caseiro, (farinha de trigo, ovo, leite, manteiga, amido de milho, creme de leite, açúcar, pêssego, figo e cereja em calda e fermento químico),","335","5.25","42.7","16.8","0.82","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0671B","Vegetais e derivados","Salada, agrião, cru, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal,","55","3","1.05","3.86","1.92","64.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0046N","Alimentos para fins especiais","Bebida, chá, lata/garrafa, pêssego, light, Lipton,","1","0","0.34","0","0","6.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0198C","Frutas e derivados","Suco, clorofila, (couve, pepino, maçã, alface, gengibre, limão e aveia),","26","0.7","4.47","0.35","0.95","1.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0024H","Bebidas","Bebida, infusão, malvariço, planta, folha, s/ açúcar, Plectraanthus amboinicus (Lour.) Spreng.,","1","0","0.3","0","0","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0190E","Pescados e Frutos do mar","Peixe, água salgada, merluza, cozido, drenado, s/ óleo, s/ sal, Merlucius hubbsi,","99","19.3","0","2.42","0","81.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0200N","Alimentos para fins especiais","Papa de feijão preto, ovo e macarrão, c/ caldo de frango, c/ cebola, c/ azeite de oliva, c/ sal,","94","5.18","6.16","4.64","3.19","135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0286B","Vegetais e derivados","Jiló, c/ casca, frito (c/ óleo de soja), c/ sal, Solanum gilo,","262","1.75","1.7","26.2","6.01","127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0030K","Produtos açucarados","Rapadura,","368","0.67","90","0.63","0","21.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0655N","Alimentos para fins especiais","Papa de carne bovina moída (patinho), fubá e espinafre, c/ caldo de carne, c/ cebola e óleo de soja, s/ sal,","130","13.8","6.97","4.86","0.81","151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0330A","Cereais e derivados","Sanduíche, pão forma integral, c/ peito de peru defumado, queijo minas, c/ maionese,","228","12.3","19.2","10.8","2.03","540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0039G","Leite e derivados","Leite, vaca, integral, em pó (média de várias amostras),","498","26","39","26.4","0","321","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0525F","Carnes e derivados","Carne, boi, charque (carne seca, carne de sol, jaba), c/ mandioca (aipim, macaxeira), extrato de tomate, pimentão, cebolinha, c/ óleo, cebola e alho, c/ sal,","198","20.5","11.3","7.71","0.89","983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0087G","Leite e derivados","Molho de iogurte para salada, c/ sal, (salsa, suco de limão, alho, azeite de oliva, pepino, iogurte natural, c/ sal),","110","2.95","6.31","7.97","0.69","176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0124B","Vegetais e derivados","Pão, de queijo, industrializado, massa congelada, crua,","295","3.65","38.7","14","0","406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0534F","Carnes e derivados","Carne, frango, caipira, inteiro, s/ pele, cozida, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal,","191","27.7","0.96","8.39","0.23","229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0167H","Bebidas","Bebida alcóolica, licor, cointreau,","391","0","38.9","3","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0512E","Pescados e frutos do mar","Peixe, água doce, Pirarucu, cultivado em Rondonia, à milanesa (a partir do peixe fresco), c/ sal, (peixe, água doce, pirarucu, farinha de trigo, farinha de rosca, ovo, frito (c/ óleo de soja), c/ sal) (média de peixes com diferentes pesos e cortes), Arapaima gigas,","255","23.9","14","11.4","0.71","125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0141C","Frutas e derivados","Suco natural, manga, s/ açúcar,","20","0.17","4.36","0.1","0.68","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0402N","Alimentos para fins especiais","Papa de batata, cenoura e carne bovina moída (patinho), c/ caldo de frango, c/ cebola, s/ óleo, c/ sal,","91","13.3","3.15","2.65","0.86","122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0297E","Pescados e Frutos do mar","Cestinha de frutos do mar, c/ queijo parmesão tostado, c/ sal, (queijo parmesão tostado, frutos do mar - camarão, lula e polvo, salsa, pimenta do reino, c/ óleo, cebola e alho, c/ sal),","257","23.6","3.13","16.1","1.36","727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0630A","Cereais e derivados","Capeleti, c/ carne moída refogada, s/ molho, caseiro, c/ sal, (massa com farinha de trigo, carne bovina, patinho moído, refogada, c/ óleo, cebolha e alho, c/ sal),","166","7.77","27.9","2.25","1.49","224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0559F","Carnes e derivados","Fricassé de carne moída, s/ sal, (carne moída (patinho), cogumelo paris, creme de leite, conhaque, vinho branco, c/ molho branco (farinha de trigo, manteiga e leite), c/ manteiga, cebola e alho, c/ pimenta-do-reino, s/ sal),","203","17.6","3.3","12.3","0.31","283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0130T","Leguminosas e derivados","Sopa, feijão, preto, c/ macarrão, s/ sal, (feijão preto, c/ macarrão, c/ caldo de carne, c/ óleo, cebola e alho, s/ sal),","65","3.47","7.6","1.18","4.91","2.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0165H","Bebidas","Bebida, café - infusão 10%, c/ substituto do leite - extrato de soja, natural (meio a meio), c/ açúcar,","50","0.47","10.9","0.49","0.14","19.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0278A","Cereais e derivados","Sanduíche, queijo quente, pão forma integral, c/ queijo muçarela, c/ manteiga,","328","14.9","22.4","19.3","2.64","508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0095C","Frutas e derivados","Açaí, polpa, com xarope de guaraná e glucose,","118","0.72","19.7","3.66","1.72","15.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0053F","Carnes e derivados","Carne, boi, acém, crua, Bos taurus,","132","19.4","1.38","5.45","0","49.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0785B","Vegetais e derivados","Farofa, toucinho defumado (bacon), s/ sal, (farinha de mandioca (aipim, macaxeira), toucinho defumado (bacon), azeitona, salsa, c/ óleo, cebola e alho, s/ sal),","454","8.33","46.4","25.2","4.06","133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0215N","Alimentos para fins especiais","Papa de carne bovina moída (acém), cenoura e batata baroa (mandioquinha, batata salsa), c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal,","114","10.2","4.54","5.92","0.92","21.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0398E","Pescados e Frutos do mar","Peixe, água salgada, pescada, branca, ensopado (c/ cebola, tomate e pimentão), c/ óleo, s/ sal, Cynoscion spp.,","161","17.6","0.46","9.92","0.51","81.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0434F","Carnes e derivados","Carne, boi, paleta, s/ gordura, cozida, c/ ervilha e cenoura, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal,","123","16","3.31","4.79","1.55","167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0006N","Alimentos para fins especiais","Gelatina, cereja, em pó, diet, Oetker,","369","48.5","42.4","0.6","0.09","158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0151B","Vegetais e derivados","Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal,","30","0.39","4.44","0.8","1.55","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0095G","Bebidas","Bebida, leite integral, c/ achocolatado em pó (10%), s/ açúcar,","98","3.04","13.9","3.2","0.6","63.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0005R","Alimentos industrializados","Bolo, laranja, mistura p/, Oetker,","366","7","82.2","0.7","1.53","794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0157B","Vegetais e derivados","Berinjela, c/ casca, cozida, drenada, s/ óleo, c/ sal, Solanum melongena L.,","26","0.79","4.29","0.24","1.91","129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0016A","Cereais e derivados","Arroz, integral, cozido, s/ sal, s/ óleo, Orysa sativa L.,","108","2.44","21.4","0.87","2.12","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0201B","Vegetais e derivados","Acelga, refogada, (c/ óleo, cebola e alho), s/ sal,","36","1.6","3.79","1.31","1.26","1.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0438N","Alimentos para fins especiais","Papa de carne bovina moída (acém), macarrão e brócolis, c/ caldo de carne, c/ cebola e óleo de soja, s/ sal,","126","11.8","4.86","6.4","0.93","22.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0171B","Vegetais e derivados","Molho, vinagrete, s/ sal, (tomate, cebola, salsinha, vinagre e óleo, s/ sal),","100","0.87","4.78","8.47","1","3.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0044K","Produtos açucarados","Chocolate, amargo, Dupy, Neugebauer,","577","7.79","35","42.6","10.9","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0924A","Cereais e derivados","Panetone, c/ chocolate e nozes, caseiro, (farinha de trigo, manteiga, ovo, fermento biológico, chocolate ao leite, nozes, c/ sal, c/ açúcar),","505","11","57.4","25.1","2.7","314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0578F","Carnes e derivados","Carne, boi, costela, assada, c/ batata e cebola, s/ óleo, c/ sal,","265","19.5","6.09","17.9","0.62","295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0664N","Alimentos para fins especiais","Papa de carne bovina moída (acém), fubá e espinafre, c/ caldo de carne, c/ cebola, s/ óleo, s/ sal,","112","10.9","7.36","4.1","1.19","149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0570A","Cereais e derivados","Canelone, c/ ricota, s/ molho, caseiro, c/ sal, (massa com farinha de trigo, c/ ricota, c/ sal),","147","9.83","14.6","5.29","0.65","438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0584A","Cereais e derivados","Panqueca, c/ peito de frango refogado, c/ molho de tomate, caseira, c/ sal, (massa - leite, farinha de trigo e ovo, c/ peito de frango refogado, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal),","175","17.8","10.1","6.88","0.85","416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0021D","Gorduras e óleos","Óleo, amendoim, Arachis hypogaea L.,","900","0","0","100","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0050N","Alimentos para fins especiais","Refrigerante, tipo guaraná, c/ adoçante,","0","0.1","1.42","0","0","13.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0076G","Leite e derivados","Vitamina, leite de vaca integral c/ mamão, s/ açúcar,","59","2.26","7.12","2.25","0.57","44.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0471N","Alimentos para fins especiais","Papa de peito de frango, fubá e couve, c/ caldo de frango, c/ cebola, s/ óleo, s/ sal,","92","12.3","6.95","1.4","0.95","142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0497B","Vegetais e derivados","Salada, beterraba cozida, cebola, c/ molho de salada - salsa, vinagre de maçã, azeite de oliva, c/ sal,","60","1.37","4.94","3.48","1.93","67.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0206C","Frutas e derivados","Suco natural, frutas vermelhas (morango, amora, mirtilo e framboesa), c/ açúcar,","41","0.44","8.76","0.19","1.11","2.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0468A","Cereais e derivados","Milho, fubá/polenta, frita, c/ óleo de soja, c/ sal,","352","5.48","58.5","9.91","3.4","187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0214E","Pescados e Frutos do mar","Peixe, água salgada, filé/ posta, assado/grelhado, s/ óleo, s/ sal (média de várias espécies),","123","23.3","0","3.34","0","92.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0168C","Frutas e derivados","Uva, passa, branca,","313","4.25","69.1","1.03","5.06","10.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0701A","Cereais e derivados","Cuscuz, marroquino (semolina), c/ cenoura, abobrinha, aipo e castanha de caju, c/ sal, (semolina, cenoura, abobrinha, aipo, castanha de caju, hortelã, pimenta-do-reino, açafrão, c/ óleo e cebola, c/ sal),","133","4.05","12.5","6.99","2.06","144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0075E","Pescados e Frutos do mar","Peixe, água salgada, sardinha, filé, cozido/30 min, s/ óleo, s/ sal, Sardinella brasiliensis,","144","27.3","1.9","3.07","0","65.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0059R","Alimentos industrializados","Pudim, morango, mistura p/, Oetker,","380","0","94.2","0.1","1.22","512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0819B","Vegetais e derivados","Creme, abóbora, cabotian (japonesa), c/ carne seca, c/ sal, (abóbora, cabotian (japonesa), carne seca dessalgada, salsa, c/ caldo de carne, c/ molho branco (farinha de trigo, manteiga e leite), c/ óleo, cebola e alho, c/ sal),","98","7.25","5.89","4.85","0.96","419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0420E","Pescados e Frutos do mar","Peixe, água salgada, cação, posta, cozido, ao c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Carcharhinus spp.,","95","17","2.63","1.7","0.51","271","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0263A","Cereais e derivados","Sanduíche, misto quente, pão forma integral, c/ presunto, queijo muçarela, c/ maionese,","245","13.1","18.8","12.6","2.03","705","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0417F","Carnes e derivados","Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal,","235","25.8","4.31","12.7","0.03","99.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0526N","Alimentos para fins especiais","Papa de carne bovina moída (patinho), cenoura e batata baroa (mandioquinha, batata salsa), c/ caldo de carne, c/ cebola e azeite de oliva, c/ sal,","114","13.2","4.41","4.69","0.92","123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0048A","Cereais e derivados","Biscoito, doce, recheado, recheio sabor morango, Marilan,","479","5.9","69.8","19.2","1.8","231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0687A","Cereais e derivados","Pizza, vegetariana, caseira, (massa (farinha de trigo, óleo, fermento biológico, sal e açúcar), brócolis, pimentão vermelho, champignon paris, azeitona preta, c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal), c/ azeite de oliva),","234","6.34","37.4","5.97","2.37","547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0348E","Pescados e Frutos do mar","Crustáceo, camarão, s/ casca, cozido, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal, Penaeus brasiliensis,","105","15.4","3.22","3.35","0.05","330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0129F","Carnes e derivados","Carne, frango, inteiro, c/ pele, crua, Gallus gallus,","218","16.2","0","17","0","62.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0739B","Vegetais e derivados","Sopa de entulho, c/ vegetais, c/ feijão vermelho, s/ sal, (cenoura, repolho, nabo, batata e feijão vermelho, c/ caldo de vegetais, c/ óleo, cebola e alho, s/ sal),","40","1.95","5.04","0.9","2.1","21.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0966F","Carnes e derivados","Carne, bovina, picanha, c/ gordura, grelhada, s/ óleo, c/ sal, Bos taurus ,","280","26.2","0.01","19.4","0","239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0395B","Vegetais e derivados","Salada, folhas, s/ óleo, s/ sal, (alface lisa, alface roxa, rúcula, s/ óleo, c/ sal),","14","1.69","0.29","0.15","2.26","6.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0105E","Pescados e Frutos do mar","Peixe, água doce, filé, grelhado/assado, s/ óleo, s/ sal (média de 7 espécies),","161","22.3","0","8.03","0","49.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0607A","Cereais e derivados","Macarrão, trigo, integral, c/ frango e cogumelos, s/ sal, (massa com trigo integral, peito de frango, cogumelo paris e shiitake, queijo parmesão, salsa, cebolinha, c/ óleo, cebola e alho, s,/ sal),","136","8.26","16","3.64","2.79","286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0651F","Carnes e derivados","Carne, boi, acém, s/ gordura, frita (c/ óleo de soja), s/ sal, Bos taurus,","261","24.6","0","18","0","48.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0129A","Cereais e derivados","Milho, pipoca, s/ sal, preparado com óleo,","436","9.93","56","15.9","14.3","4.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0023R","Alimentos industrializados","Gelatina, limão, em pó, Oetker,","394","6.1","91.8","0.3","0","233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0427A","Cereais e derivados","Pizza, portuguesa, assada, (massa (farinha de trigo, óleo, fermento biológico, sal e açúcar), presunto, ovo, cebola, tomate e azeitona, c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal), c/ azeite de oliva),","249","9.82","27.2","10.7","2.38","617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C1105B","Vegetais e derivados","Yacón (batata yácon), raiz, s/ casca, cozida, s/ óleo, s/ sal,","45","0.33","9.28","0.07","2.86","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0296C","Frutas e derivados","Tapereba (cajá-da-mata), in natura, Spomdias mombin L.,","49","0.95","8.51","0.24","4.65","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0241F","Carnes e derivados","Carne, frango, peito, s/ pele, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, Gallus gallus,","127","25.4","0.44","2.67","1.34","185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0180F","Carnes e derivados","Linguiça, crua (média de vários tipos),","251","15.7","0.8","20.5","0","1150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
